time[s], delta_E_total[W/m^3], delta_E_cx[W/m^3], delta_E_el[W/m^3]
  2.120000E-006, -1.973405E+006, -2.884251E+006,  9.108460E+005
  2.130000E-006,  8.345750E+005, -1.142324E+006,  1.976899E+006
  2.140000E-006,  9.827375E+005,  4.596199E+006, -3.613461E+006
  2.150000E-006, -3.622985E+006, -1.855237E+006, -1.767748E+006
  2.160000E-006,  4.283102E+006,  5.049438E+006, -7.663367E+005
  2.170000E-006, -2.780761E+005,  2.824444E+005, -5.605205E+005
  2.180000E-006, -4.524914E+005, -1.230676E+006,  7.781845E+005
  2.190000E-006,  9.893475E+005, -1.175814E+006,  2.165161E+006
  2.200000E-006, -1.388397E+006, -1.771047E+006,  3.826508E+005
  2.210000E-006,  7.351451E+006,  4.055688E+006,  3.295763E+006
  2.220000E-006,  1.907721E+006,  7.436096E+005,  1.164111E+006
  2.230000E-006,  1.445852E+006,  4.153733E+006, -2.707881E+006
  2.240000E-006,  3.453719E+006,  4.640743E+005,  2.989645E+006
  2.250000E-006, -3.269509E+006, -3.285687E+006,  1.617754E+004
  2.260000E-006,  5.203565E+006,  4.101722E+006,  1.101842E+006
  2.270000E-006,  9.591462E+005, -3.580210E+005,  1.317167E+006
  2.280000E-006, -6.415809E+005, -5.716669E+004, -5.844142E+005
  2.290000E-006, -5.676858E+006, -4.624150E+006, -1.052708E+006
  2.300000E-006,  6.836896E+005,  1.580116E+006, -8.964265E+005
  2.310000E-006,  3.451531E+006,  4.779972E+003,  3.446751E+006
  2.320000E-006, -5.879082E+005, -8.471456E+005,  2.592375E+005
  2.330000E-006,  1.294589E+005,  2.715340E+005, -1.420751E+005
  2.340000E-006, -1.904163E+006, -1.850376E+006, -5.378654E+004
  2.350000E-006,  2.181079E+006,  1.715786E+006,  4.652932E+005
  2.360000E-006,  3.627005E+005, -1.912222E+006,  2.274923E+006
  2.370000E-006, -1.858709E+006, -2.437123E+006,  5.784141E+005
  2.380000E-006,  2.626020E+006,  3.311212E+003,  2.622709E+006
  2.390000E-006, -1.065384E+006, -9.354222E+005, -1.299623E+005
  2.400000E-006, -2.088500E+006, -2.266013E+006,  1.775127E+005
  2.410000E-006, -3.319436E+006, -2.464470E+006, -8.549653E+005
  2.420000E-006, -2.189282E+006, -2.288629E+006,  9.934715E+004
  2.430000E-006,  6.035405E+006,  1.555493E+006,  4.479912E+006
  2.440000E-006, -2.049634E+006, -6.708297E+005, -1.378805E+006
  2.450000E-006, -1.347756E+006, -1.025948E+006, -3.218072E+005
  2.460000E-006,  4.724359E+006,  4.700459E+006,  2.389910E+004
  2.470000E-006, -2.125301E+006, -2.129845E+006,  4.544560E+003
  2.480000E-006,  2.213119E+006,  2.890467E+005,  1.924072E+006
  2.490000E-006,  1.301041E+006, -1.106326E+006,  2.407367E+006
  2.500000E-006, -7.520042E+005, -1.021998E+006,  2.699942E+005
  2.510000E-006, -2.829589E+006, -3.675086E+005, -2.462080E+006
  2.520000E-006,  2.987913E+006,  2.709680E+006,  2.782324E+005
  2.530000E-006,  3.348220E+005, -2.155242E+006,  2.490064E+006
  2.540000E-006,  1.362145E+006,  2.924760E+006, -1.562615E+006
  2.550000E-006, -3.237122E+006, -2.621763E+006, -6.153589E+005
  2.560000E-006, -2.472966E+006, -4.847626E+006,  2.374659E+006
  2.570000E-006,  2.065672E+006,  9.485861E+005,  1.117086E+006
  2.580000E-006,  2.530594E+006,  2.133791E+006,  3.968036E+005
  2.590000E-006, -1.909940E+006, -2.174829E+006,  2.648890E+005
  2.600000E-006,  8.008752E+005,  2.409288E+006, -1.608413E+006
  2.610000E-006, -2.542405E+006, -2.615617E+006,  7.321260E+004
  2.620000E-006,  7.072259E+006,  4.689158E+006,  2.383101E+006
  2.630000E-006,  2.851462E+006,  6.785217E+005,  2.172940E+006
  2.640000E-006,  6.201653E+005,  7.226752E+005, -1.025099E+005
  2.650000E-006, -2.611685E+006, -1.585031E+006, -1.026654E+006
  2.660000E-006, -1.125714E+006, -9.706313E+005, -1.550822E+005
  2.670000E-006,  5.964846E+006,  1.600140E+006,  4.364706E+006
  2.680000E-006, -4.090570E+006, -4.348700E+006,  2.581303E+005
  2.690000E-006,  6.938501E+005,  1.121998E+005,  5.816503E+005
  2.700000E-006, -6.634079E+006, -2.205812E+006, -4.428266E+006
  2.710000E-006, -4.136943E+006, -5.980890E+006,  1.843947E+006
  2.720000E-006, -1.097926E+005, -2.370591E+006,  2.260798E+006
  2.730000E-006, -8.590111E+005, -1.747882E+006,  8.888712E+005
  2.740000E-006,  1.691964E+006,  3.854857E+006, -2.162892E+006
  2.750000E-006, -3.879945E+006, -4.286587E+006,  4.066422E+005
  2.760000E-006,  6.383450E+006,  6.007218E+006,  3.762318E+005
  2.770000E-006, -5.551011E+006, -2.083850E+006, -3.467161E+006
  2.780000E-006, -3.149161E+006, -3.032730E+006, -1.164312E+005
  2.790000E-006, -4.467355E+004, -1.716825E+006,  1.672151E+006
  2.800000E-006,  9.422519E+004, -4.843608E+005,  5.785860E+005
  2.810000E-006,  2.261129E+006,  1.765858E+006,  4.952716E+005
  2.820000E-006, -8.943510E+005, -9.237443E+005,  2.939331E+004
  2.830000E-006, -2.681905E+005, -7.416421E+005,  4.734516E+005
  2.840000E-006, -4.578906E+006, -1.784029E+006, -2.794877E+006
  2.850000E-006, -1.334320E+006, -1.257316E+006, -7.700355E+004
  2.860000E-006,  1.414860E+006,  6.524811E+005,  7.623786E+005
  2.870000E-006, -3.159177E+006, -1.085289E+006, -2.073888E+006
  2.880000E-006,  3.132927E+006,  1.933174E+006,  1.199753E+006
  2.890000E-006, -1.687894E+006, -1.178530E+006, -5.093636E+005
  2.900000E-006,  1.709989E+006, -1.099959E+005,  1.819985E+006
  2.910000E-006,  1.035693E+006,  5.666862E+005,  4.690070E+005
  2.920000E-006,  9.553676E+006,  5.667118E+006,  3.886558E+006
  2.930000E-006,  4.122432E+006,  2.589251E+006,  1.533181E+006
  2.940000E-006,  2.003618E+006,  4.077416E+006, -2.073798E+006
  2.950000E-006, -3.120796E+006,  1.342949E+006, -4.463745E+006
  2.960000E-006, -3.225668E+006, -1.322159E+006, -1.903509E+006
  2.970000E-006,  1.857569E+006,  1.705512E+006,  1.520567E+005
  2.980000E-006, -2.708317E+006, -2.324003E+006, -3.843133E+005
  2.990000E-006,  1.154670E+005,  1.565914E+006, -1.450447E+006
  3.000000E-006, -4.093380E+006, -3.585710E+006, -5.076699E+005
  3.010000E-006, -5.426903E+006, -2.060614E+006, -3.366289E+006
  3.020000E-006,  6.310855E+006,  3.347822E+006,  2.963033E+006
  3.030000E-006, -1.057451E+006, -2.152797E+005, -8.421712E+005
  3.040000E-006,  5.449805E+005,  7.817165E+004,  4.668088E+005
  3.050000E-006, -2.707675E+005, -1.472046E+006,  1.201278E+006
  3.060000E-006, -2.887242E+005, -6.346748E+005,  3.459506E+005
  3.070000E-006,  1.813057E+006, -3.385757E+005,  2.151632E+006
  3.080000E-006, -1.816844E+006, -2.005693E+006,  1.888490E+005
  3.090000E-006, -1.112149E+006,  7.631294E+005, -1.875279E+006
  3.100000E-006,  9.707909E+006,  6.850162E+006,  2.857748E+006
  3.110000E-006, -2.421813E+006, -9.180321E+005, -1.503780E+006
  3.120000E-006, -7.013201E+005,  1.236760E+006, -1.938081E+006
  3.130000E-006,  2.622449E+006,  3.845663E+006, -1.223214E+006
  3.140000E-006,  4.885255E+006,  4.310346E+006,  5.749090E+005
  3.150000E-006, -1.529288E+006,  2.626066E+006, -4.155353E+006
  3.160000E-006, -5.471686E+006, -1.173095E+006, -4.298591E+006
  3.170000E-006, -2.833994E+006, -3.057803E+006,  2.238086E+005
  3.180000E-006,  2.933374E+006,  9.229637E+005,  2.010410E+006
  3.190000E-006, -3.862155E+006, -8.773060E+005, -2.984849E+006
  3.200000E-006, -6.664074E+004, -2.833789E+006,  2.767148E+006
  3.210000E-006,  6.330874E+006,  9.601679E+005,  5.370706E+006
  3.220000E-006, -2.744116E+006, -2.393358E+006, -3.507585E+005
  3.230000E-006,  3.115385E+006,  3.392964E+006, -2.775788E+005
  3.240000E-006,  2.977168E+006,  1.463411E+006,  1.513757E+006
  3.250000E-006, -4.634001E+006, -3.004228E+006, -1.629772E+006
  3.260000E-006,  2.498378E+006,  2.236501E+006,  2.618770E+005
  3.270000E-006,  8.289614E+005,  3.199113E+005,  5.090501E+005
  3.280000E-006, -3.741044E+006, -3.589507E+006, -1.515373E+005
  3.290000E-006,  3.740778E+005,  4.199002E+006, -3.824924E+006
  3.300000E-006, -4.024481E+006, -1.746025E+006, -2.278456E+006
  3.310000E-006,  1.892503E+006,  1.509109E+005,  1.741593E+006
  3.320000E-006, -1.775406E+006, -1.424900E+006, -3.505064E+005
  3.330000E-006, -5.919079E+005, -4.523053E+006,  3.931145E+006
  3.340000E-006,  4.316751E+006,  1.267617E+006,  3.049134E+006
  3.350000E-006, -4.304327E+006, -4.648833E+006,  3.445067E+005
  3.360000E-006, -5.420328E+005,  1.403284E+006, -1.945317E+006
  3.370000E-006,  5.529784E+006,  3.398061E+006,  2.131722E+006
  3.380000E-006, -1.590441E+006,  4.183162E+005, -2.008757E+006
  3.390000E-006,  4.085308E+006,  1.948086E+006,  2.137222E+006
  3.400000E-006,  1.745557E+006, -1.366701E+006,  3.112258E+006
  3.410000E-006,  8.746587E+005, -2.505116E+005,  1.125170E+006
  3.420000E-006, -4.335391E+006, -1.725900E+006, -2.609490E+006
  3.430000E-006, -1.566451E+006,  1.606102E+006, -3.172553E+006
  3.440000E-006,  4.631183E+005, -4.799604E+005,  9.430787E+005
  3.450000E-006, -7.855679E+004,  2.833835E+005, -3.619403E+005
  3.460000E-006, -3.603733E+006, -4.016695E+006,  4.129620E+005
  3.470000E-006, -3.796399E+006, -3.883383E+006,  8.698456E+004
  3.480000E-006,  1.763404E+006,  1.727558E+006,  3.584611E+004
  3.490000E-006,  1.999064E+006,  7.678406E+005,  1.231224E+006
  3.500000E-006, -3.975539E+005,  9.711268E+005, -1.368681E+006
  3.510000E-006,  5.889261E+005,  7.006307E+004,  5.188630E+005
  3.520000E-006, -1.700910E+006, -1.192195E+006, -5.087149E+005
  3.530000E-006,  2.068855E+005,  1.173652E+006, -9.667661E+005
  3.540000E-006, -5.621174E+005, -1.586335E+006,  1.024218E+006
  3.550000E-006,  5.134580E+006,  2.233611E+006,  2.900969E+006
  3.560000E-006,  4.164618E+005, -1.249592E+006,  1.666054E+006
  3.570000E-006,  2.245784E+005, -2.094980E+006,  2.319558E+006
  3.580000E-006, -1.834746E+006, -1.908000E+006,  7.325375E+004
  3.590000E-006,  4.154124E+006,  6.632825E+005,  3.490842E+006
  3.600000E-006, -5.716931E+006, -5.042712E+006, -6.742192E+005
  3.610000E-006,  1.655988E+005, -1.098172E+006,  1.263770E+006
  3.620000E-006,  5.187498E+006,  3.739746E+006,  1.447753E+006
  3.630000E-006,  2.517986E+006,  7.530676E+005,  1.764918E+006
  3.640000E-006, -1.023803E+006,  8.152285E+005, -1.839032E+006
  3.650000E-006, -3.235229E+006, -9.078467E+005, -2.327382E+006
  3.660000E-006,  1.384300E+006,  1.063057E+006,  3.212429E+005
  3.670000E-006, -1.775083E+006, -2.528617E+006,  7.535336E+005
  3.680000E-006,  1.916095E+006, -5.107510E+005,  2.426846E+006
  3.690000E-006,  3.113702E+006, -3.150750E+005,  3.428777E+006
  3.700000E-006, -1.432269E+006, -2.195470E+006,  7.632011E+005
  3.710000E-006, -7.021697E+006, -3.779256E+006, -3.242441E+006
  3.720000E-006,  1.934792E+006,  2.876449E+006, -9.416565E+005
  3.730000E-006,  1.401787E+006,  1.001539E+006,  4.002482E+005
  3.740000E-006, -3.360211E+006, -2.462122E+006, -8.980884E+005
  3.750000E-006, -1.740810E+006, -2.509362E+006,  7.685523E+005
  3.760000E-006,  2.317326E+006,  1.966541E+006,  3.507844E+005
  3.770000E-006,  4.005534E+006,  2.055528E+006,  1.950006E+006
  3.780000E-006,  3.480875E+006,  3.243064E+006,  2.378116E+005
  3.790000E-006,  2.448490E+006, -3.447136E+005,  2.793204E+006
  3.800000E-006,  3.457771E+006,  4.151754E+005,  3.042595E+006
  3.810000E-006, -1.368982E+006, -1.811490E+006,  4.425085E+005
  3.820000E-006, -1.872504E+006, -8.753832E+005, -9.971204E+005
