# time[s], delta_E_avg[eV], delta_E_cx_avg[eV], delta_E_el_avg[eV]
  3.280000E-006, -2.429630E-003,  4.708800E-004, -2.900510E-003
  3.290000E-006,  1.091501E-002,  1.060998E-002,  3.050284E-004
  3.300000E-006, -5.026620E-003, -9.434460E-004, -4.083174E-003
  3.310000E-006,  1.253910E-002,  5.218130E-003,  7.320975E-003
  3.320000E-006, -9.236366E-003, -1.891773E-003, -7.344593E-003
  3.330000E-006,  1.088581E-002,  1.150722E-002, -6.214134E-004
  3.340000E-006, -4.387542E-003, -9.790199E-005, -4.289640E-003
  3.350000E-006, -2.243083E-003,  3.297799E-003, -5.540882E-003
  3.360000E-006, -4.380051E-003, -2.293578E-003, -2.086473E-003
  3.370000E-006, -1.746014E-002, -8.194683E-003, -9.265453E-003
  3.380000E-006,  1.923637E-002,  1.789103E-002,  1.345338E-003
  3.390000E-006,  1.396335E-002,  8.851877E-003,  5.111477E-003
  3.400000E-006, -3.999649E-004, -2.304233E-003,  1.904268E-003
  3.410000E-006, -8.076240E-003, -4.618295E-003, -3.457945E-003
  3.420000E-006, -4.960449E-003, -7.587813E-004, -4.201667E-003
  3.430000E-006,  1.969068E-003,  2.672157E-003, -7.030895E-004
  3.440000E-006, -4.012410E-003, -9.946404E-004, -3.017770E-003
  3.450000E-006,  1.726666E-002,  9.565233E-003,  7.701427E-003
  3.460000E-006,  8.262679E-003,  1.469027E-002, -6.427587E-003
  3.470000E-006, -6.837078E-003, -1.214402E-002,  5.306939E-003
  3.480000E-006,  8.503708E-003,  6.700521E-003,  1.803187E-003
  3.490000E-006, -9.862761E-003, -1.532818E-003, -8.329943E-003
  3.500000E-006,  4.381674E-003,  3.876154E-003,  5.055196E-004
  3.510000E-006, -8.999578E-003, -5.097776E-003, -3.901801E-003
  3.520000E-006,  1.243635E-004,  7.892460E-003, -7.768096E-003
  3.530000E-006,  3.275769E-003,  4.065038E-003, -7.892686E-004
  3.540000E-006, -7.412044E-003, -1.603386E-003, -5.808658E-003
  3.550000E-006, -3.175999E-003, -2.578553E-003, -5.974460E-004
  3.560000E-006,  2.014825E-003,  9.602855E-003, -7.588031E-003
  3.570000E-006, -2.089980E-003, -1.153012E-003, -9.369681E-004
  3.580000E-006, -2.307853E-003,  1.355258E-003, -3.663111E-003
  3.590000E-006, -1.847052E-003, -2.010748E-003,  1.636957E-004
  3.600000E-006, -3.584463E-003, -1.259386E-002,  9.009401E-003
  3.610000E-006,  6.539388E-003,  9.560063E-003, -3.020675E-003
  3.620000E-006, -1.442054E-004,  3.009332E-003, -3.153537E-003
  3.630000E-006,  9.446422E-003,  1.052667E-002, -1.080247E-003
  3.640000E-006,  1.463720E-004, -1.898748E-004,  3.362468E-004
  3.650000E-006,  7.526298E-003,  3.372366E-003,  4.153932E-003
  3.660000E-006, -8.626882E-003, -3.559485E-003, -5.067397E-003
  3.670000E-006, -4.907611E-003, -4.968498E-003,  6.088657E-005
  3.680000E-006,  5.520947E-003, -6.173295E-003,  1.169424E-002
  3.690000E-006, -1.132831E-002, -1.528987E-002,  3.961561E-003
  3.700000E-006, -1.097239E-002, -4.396651E-003, -6.575740E-003
  3.710000E-006,  7.350206E-003,  1.288315E-002, -5.532943E-003
  3.720000E-006,  9.492001E-003,  5.416822E-003,  4.075179E-003
  3.730000E-006, -1.661661E-003, -1.220471E-003, -4.411896E-004
  3.740000E-006,  3.996384E-003,  3.160807E-003,  8.355769E-004
  3.750000E-006,  1.559814E-003, -3.656114E-003,  5.215928E-003
